nombre_producto,precio_regular,precio_oferta,descripcion_corta,cantidad_presentacion,categoria,slug,stock
Gomitas de Vinagre de Manzana Sottcor + Garcinia Cambogia (130 Gomitas),60.0,48.0,"¡Tu aliado perfecto para alcanzar tu peso ideal! ¿Buscas controlar esos antojos y acelerar tu metabolismo de forma natural? Nuestras gomitas de Vinagre de Manzana combinadas con Garcinia Cambogia son la forma más deliciosa de apoyar tu proceso de pérdida de peso sin el fuerte sabor del vinagre líquido. Control de Peso: Facilita el control del apetito, favoreciendo la pérdida de peso de forma natural. Adiós a la Ansiedad: Disminuye el deseo de comer constantemente, facilitando la reducción de medidas. Equilibrio de Glucosa: Contribuye positivamente al equilibrio del nivel de azúcar en la sangre. Salud del Hígado: Ayuda a desintoxicar y mejorar la función hepática general. Estado de Ánimo: Incrementa los niveles de serotonina, ayudándote a sentirte mejor durante el día. Detalles del producto: Ingredientes Estrella: Vinagre de Manzana y Garcinia Cambogia. Contenido: 130 gomitas (Tratamiento para 43 días). Dosis: Solo 3 gomitas diarias. Garantía: Registro Sanitario G7703324N. Libre de gluten, lactosa y GMO. ¡Empieza hoy a transformar tu cuerpo con energía y salud!",130 gomitas,Herbal Supplements,gomitas-de-vinagre-de-manzana-sottcor-garcinia-cambogia-130-gomitas,100
Gomitas LIPOGOM CIDER PLUS Sottcor (130 Gomitas),60.0,48.0,"¡Potencia tu cambio hacia un estilo de vida saludable! ¿Buscas un apoyo integral para tu metabolismo y bienestar cardiovascular? LIPOGOM CIDER PLUS es nuestra fórmula más completa, diseñada para acompañarte en tu proceso de cambio de hábitos con el poder de la naturaleza en cada gomita. Control de Peso Avanzado: Gracias al vinagre de manzana y la garcinia cambogia, contribuye a una mayor sensación de saciedad. Metabolismo de Grasas: El té verde y la garcinia apoyan el uso eficiente de la energía proveniente de las grasas. Salud Cardiovascular: Enriquecidas con Omega-3 de semillas de chía para el buen funcionamiento del corazón. Energía y Músculos: El magnesio apoya la producción de energía y el funcionamiento muscular normal. Regularidad Digestiva: Mejora el tránsito intestinal gracias a su contenido de fibra dietética natural. Detalles del producto: Ingredientes Premium: Vinagre de Manzana, Semilla de Chía, Té Verde, Magnesio y Garcinia Cambogia. Contenido: 130 gomitas. Modo de Consumo: 3 gomitas diarias, preferiblemente 30 minutos después del desayuno. Garantía: Registro Sanitario G7703324N. Calidad certificada internacionalmente. ¡Alcanza tus metas con energía y salud!",130 gomitas,Herbal Supplements,gomitas-lipogom-cider-plus-sottcor-130-gomitas,100
Gomitas de Moringa Sottcor - Nutrición Celular (130 Gomitas),60.0,48.0,"¡Potencia tu vitalidad con el superalimento más completo! ¿Sientes que a tu nutrición le falta un refuerzo? Nuestras gomitas de Moringa (Aceite, Polvo y Semilla) son una fuente natural de vitaminas y minerales esenciales, diseñadas para fortalecer tu cuerpo y darte la energía que necesitas cada día. Nutrición Celular: Aporta vitaminas A, C, E, Calcio, Hierro y Potasio fundamentales para tu organismo. Sistema Inmune Invencible: Complementa tu nutrición para un soporte inmunológico integral. Energía y Vitalidad: Contribuye a mantener niveles óptimos de energía durante todo el día. Efecto Detox: Favorece los procesos naturales de desintoxicación y mejora el tránsito intestinal. Equilibrio Inflamatorio: Ayuda a controlar procesos inflamatorios, favoreciendo el bienestar general. Detalles del producto: Fórmula Multivitamínica: Enriquecida con los beneficios del aceite, polvo y semilla de moringa. Contenido: 130 gomitas. Modo de Consumo: 3 gomitas, 30 minutos después del desayuno. Garantía: Registro Sanitario G7721225N. Libre de gluten, lactosa y GMO. ¡Dale a tu cuerpo el combustible natural que merece!",130 gomitas,Multivitamin Supplements,gomitas-de-moringa-sottcor-nutricion-celular-130-gomitas,100
"Gomitas DULCE SUEÑOS Sottcor - Valeriana, Manzanilla y Toronjil (130 Gomitas)",60.0,48.0,"¡Desconéctate del estrés y regálate un descanso reparador! ¿Te cuesta conciliar el sueño o te despiertas cansada? Nuestras gomitas DULCE SUEÑOS son la combinación natural perfecta de extractos herbales diseñada para ayudarte a dormir mejor y despertar con energía renovada. Sueño Profundo: Ayuda a conciliar el sueño de forma más rápida y efectiva. Relajación Total: Promueve un estado de calma natural que facilita el descanso. Adiós a la Ansiedad: Reduce los niveles de estrés y ansiedad acumulados durante el día. Prevención del Insomnio: Ayuda a regular tus horarios de sueño de manera saludable. Alivio de Tensiones: Reduce la tensión y contribuye a disminuir la intensidad de los dolores de cabeza. Detalles del producto: Ingredientes Naturales: Valeriana, Manzanilla y Toronjil (Ahora con Taurato de Magnesio). Contenido: 130 gomitas. Modo de Consumo: De 1 a 2 gomitas diarias. Garantía: Registro Sanitario G7705124N. Libre de gluten, lactosa y GMO. ¡Dulces sueños y un despertar radiante!",130 gomitas,Herbal Supplements,gomitas-dulce-suenos-sottcor-valeriana-manzanilla-y-toronjil-130-gomitas,97
Gomitas HEPA DETOX Sottcor - Purificación y Cuidado Hepático (130 Gomitas),60.0,48.0,"¡Dale a tu hígado el cuidado y la renovación que merece! ¿Sientes pesadez o quieres limpiar tu organismo de forma natural? Nuestras gomitas HEPA DETOX están formuladas con una poderosa mezcla de alcachofa, espirulina y vitaminas para desintoxicar tu cuerpo y mejorar tu bienestar digestivo. Protección y Regeneración: Las vitaminas del complejo B favorecen la reparación y recuperación de las células hepáticas. Depuración Profunda: La espirulina ayuda a eliminar toxinas y metales pesados, evitando la sobrecarga del hígado. Equilibrio Interno: La alcachofa estimula la función del hígado, mejora la digestión de grasas y ayuda a mantener niveles saludables de colesterol. Escudo Antioxidante: Rica en flavonoides que protegen la mucosa gástrica frente al estrés oxidativo. Defensas Reforzadas: El zinc y el selenio fortalecen el sistema inmune y apoyan los procesos de reparación celular. Detalles del producto: Ingredientes Clave: Alcachofa, Espirulina, Zinc, Selenio y Vitaminas (B1, B2, B6, B9, B12, A, E) y Magnesio. Contenido: 130 gomitas. Dosis: Solo 3 gomitas diarias. Garantía: Registro Sanitario G7720225N. Libre de gluten, lactosa y GMO. ¡Limpia tu cuerpo y siéntete renovado desde adentro!",130 gomitas,Herbal Supplements,gomitas-hepa-detox-sottcor-purificacion-y-cuidado-hepatico-130-gomitas,100
"Gomitas Omega 3, 6 y 9 Sottcor - DHA, EPA y Colina (130 Gomitas)",60.0,48.0,"¡Potencia tu mente y protege tu corazón con cada gomita! ¿Buscas mejorar tu enfoque o cuidar tu salud visual? Nuestras gomitas de Omega 3, 6 y 9, enriquecidas con Colina, Vitamina B12 y Potasio, son el suplemento ideal para mantener tu cerebro activo y tu cuerpo en equilibrio. Máxima Concentración: Potencia la función cerebral, el aprendizaje y la memoria. Corazón Protegido: Ayuda a regular los niveles de colesterol y glucosa en la sangre. Visión Saludable: Previene la sequedad ocular y problemas como la degeneración macular. Bienestar Emocional: Contribuye a mejorar el estado de ánimo, disminuyendo síntomas de angustia. Cuidado Cognitivo: Su fórmula con Colina ayuda a prevenir el deterioro cognitivo a largo plazo. Detalles del producto: Fórmula Completa: Omega 3, 6 y 9 (DHA-EPA), Colina, B12 y Potasio. Contenido: 130 gomitas. Dosis: Solo 3 gomitas diarias. Garantía: Registro Sanitario G7704424N. Libre de gluten, lactosa y GMO. ¡Dale a tu cerebro el combustible que necesita para brillar!",130 gomitas,Multivitamin Supplements,gomitas-omega-3-6-y-9-sottcor-dha-epa-y-colina-130-gomitas,103
Gomitas de Orégano Sottcor - Beneficio Natural (130 Gomitas),60.0,48.0,"¡Protección natural y alivio para tu sistema digestivo! ¿Sufres de pesadez o molestias estomacales constantes? Nuestras gomitas de Orégano son un potente aliado natural diseñado para combatir bacterias y mejorar tu salud digestiva de forma práctica y deliciosa. Acción Antibacterial: Contiene carvacrol y thymol, que ayudan a combatir bacterias asociadas a la gastritis. Alivio Digestivo: Favorece la digestión y ayuda a reducir gases o la distensión abdominal. Efecto Antiinflamatorio: Disminuye la irritación e inflamación del tracto digestivo. Defensa Natural: Posee propiedades antivirales y antifúngicas que apoyan frente a virus comunes y hongos como Candida albicans. Poder Antioxidante: Rico en flavonoides que protegen tu mucosa gástrica frente al estrés oxidativo. Detalles del producto: Contenido: 130 gomitas. Modo de consumo: 3 gomitas diarias. Garantía: Registro Sanitario G7720025N. Certificaciones: Libre de gluten, lactosa y GMO. ¡Recupera tu bienestar estomacal con el poder del orégano!",130 gomitas,Herbal Supplements,gomitas-de-oregano-sottcor-beneficio-natural-130-gomitas,100
Gomitas Sottcor Kids - Calcio + Vitamina D y Ácido Fólico (130 Gomitas),60.0,48.0,"¡Huesos fuertes y sonrisas sanas para los más pequeños! ¿Quieres asegurar el mejor crecimiento para tus hijos? Nuestras gomitas infantiles están diseñadas para fortalecer su estructura ósea y dental de forma divertida y deliciosa. La combinación perfecta de nutrientes esenciales para su etapa de desarrollo. Crecimiento Óseo: Estimula el fortalecimiento y la mineralización de los huesos, vital en la infancia y adolescencia. Salud Dental: Ayuda a mantener dientes fuertes, sanos y protegidos. Función Muscular: Aporta los nutrientes cruciales para una adecuada contracción y movimiento muscular. Salud Celular: El ácido fólico estimula el crecimiento celular y favorece el desarrollo de tejidos fuertes. Absorción Optimizada: La Vitamina D asegura que el calcio se absorba correctamente para una máxima efectividad. Detalles del producto: Contenido: 130 gomitas. Garantía: Registro Sanitario G7707024N. Vida Útil: 2 años. Modo de consumo por edad: 1 a 3 años: 1 gomita diaria. 4 a 8 años: 2 gomitas diarias. 9 a 16 años: 3 gomitas diarias. ¡Dales el soporte que necesitan para crecer grandes y fuertes!",130 gomitas,Multivitamin Supplements,gomitas-sottcor-kids-calcio-vitamina-d-y-acido-folico-130-gomitas,100
Gomitas GOFOS Kids - Fibra Prebiótica y Probióticos (130 Gomitas),60.0,48.0,"¡Pancitas felices y niños más fuertes! ¿Quieres mejorar la digestión de tus pequeños y proteger su salud? Nuestras gomitas GOFOS Kids son la forma más rica de cuidar su microbiota. Gracias a su combinación de fibras y probióticos, ayudan a que tus hijos crezcan sanos y con mucha energía. Digestión Saludable: Ayuda a mantener un sistema digestivo regular y libre de pesadez. Equilibrio Interno: Incrementa las bacterias beneficiosas en el intestino para una mejor salud general. Súper Defensas: Fortalece el sistema inmunológico, ayudando a los niños a resistir mejor las enfermedades. Mejor Nutrición: Facilita la absorción de vitaminas y minerales esenciales, promoviendo un crecimiento óptimo. Protección Activa: Los probióticos defienden su organismo contra microorganismos nocivos. Detalles del producto: Contenido: 130 gomitas. Garantía: Registro Sanitario G7709424N. Vida Útil: 2 años. Dosis recomendada por edad: 1 a 3 años: 1 gomita diaria. 4 a 8 años: 2 gomitas diarias. 9 a 16 años: 3 gomitas diarias. ¡El aliado perfecto para el bienestar diario de tus hijos!",130 gomitas,Digestive Supplements,gomitas-gofos-kids-fibra-prebiotica-y-probioticos-130-gomitas,100
Gomitas BUENAS NOCHES Kids Sottcor - Dulces Sueños (130 Gomitas),60.0,48.0,"¡Noches tranquilas para un despertar lleno de alegría! ¿A tus pequeños les cuesta desconectarse al final del día? Nuestras gomitas BUENAS NOCHES Kids son la solución natural para ayudar a los niños a conciliar el sueño en un ambiente de calma y relajación. Regulación del Sueño: Facilita que los niños concilien el sueño de manera natural y rápida. Relajación Natural: Promueve un estado de tranquilidad que facilita un descanso profundo. Apoyo Emocional: Ayuda a reducir la ansiedad y el estrés del día, creando un ambiente sereno para dormir. Refuerzo Inmunológico: Dormir bien fortalece la función inmunológica de tus hijos. Ambiente Tranquilo: Disminuye la inquietud antes de acostarse, favoreciendo un mejor descanso para toda la familia. Detalles del producto: Ingredientes Naturales: Enriquecidas con extractos de Valeriana y Manzanilla. Contenido: 130 gomitas. Garantía: Registro Sanitario G7705024N. Vida Útil: 2 años. Modo de consumo sugerido: De 1.5 a 16 años: 1 a 2 gomitas antes de dormir. ¡Dales el descanso que su cuerpo y mente necesitan para crecer felices!",130 gomitas,Herbal Supplements,gomitas-buenas-noches-kids-sottcor-dulces-suenos-130-gomitas,100
‍ Gomitas Sottcor Kids - Zinc + Vit. C + D3 + Betaglucano (130 Gomitas),60.0,48.0,"¡Fortalece las defensas de tu pequeño superhéroe! ¿Quieres proteger a tus hijos frente a los cambios de clima y virus? Nuestras gomitas de Zinc y Betaglucano son la fórmula definitiva para mantener su sistema inmunológico alerta y acelerar su recuperación natural. Sistema Inmune de Hierro: Mejora la función inmunológica para ayudar a combatir infecciones de forma más eficaz. Cicatrización Rápida: Favorece la regeneración celular y acelera la cicatrización de tejidos. Desarrollo Celular: Nutrientes esenciales para la formación del ADN y la regeneración de nuevas células. Poder Betaglucano: Favorece la respuesta del organismo ante patógenos externos, manteniendo una salud equilibrada. Refuerzo con Vitamina D3: Apoya la absorción de nutrientes y el bienestar general del sistema óseo. Detalles del producto: Contenido: 130 gomitas. Garantía: Registro Sanitario G7704624N. Vida Útil: 2 años. Modo de consumo sugerido: 1.5 a 3 años: 1 gomita diaria. 4 a 8 años: 2 gomitas diarias. 9 a 16 años: 3 gomitas diarias. ¡Dale a tus hijos la protección que necesitan para brillar con salud!",130 gomitas,Multivitamin Supplements,gomitas-sottcor-kids-zinc-vit-c-d3-betaglucano-130-gomitas,100
